PCPT,MAX_T,MIN_T,AVG_T,SMOKE,PM10,AQI,SO2,O3,City,DATE,AQI_BUCKET,,
0.11,88,75,81.5,0,,19,,,Davis Island,6/30/2021,GOOD,,
0,89,79,84,0,,19,,,Davis Island,7/4/2021,GOOD,,
,92,79,85.5,0,,19,,,Davis Island,7/30/2021,GOOD,,
0.2,94,72,83,0,,19,,,Davis Island,8/13/2021,GOOD,,
0,79,64,71.5,0,22.1,20,3,26,Davis Island,2/4/2011,GOOD,,
0.05,95,77,86,0,27.5,20,12,38,Davis Island,6/22/2011,GOOD,,
0,95,77,86,0,20.1,20,3,39,Davis Island,7/6/2011,GOOD,,
0.22,87,74,80.5,0,20,20,6,55,Davis Island,9/26/2011,GOOD,,
0,82,71,76.5,0,18.9,20,4,33,Davis Island,11/15/2011,GOOD,,
0,90,74,82,0,20.6,20,21,84,Davis Island,5/15/2012,GOOD,,
0.1,90,75,82.5,0,35,20,11,45,Davis Island,6/21/2012,GOOD,,
7.11,80,75,77.5,0,24.1,20,3,40,Davis Island,6/24/2012,GOOD,,
0.27,92,76,84,0,17.5,20,8,24,Davis Island,7/13/2012,GOOD,,
0,90,75,82.5,0,27.1,20,9,25,Davis Island,8/7/2012,GOOD,,
0,92,80,86,1,15.2,20,7,24,Davis Island,8/16/2012,GOOD,,
1.11,91,74,82.5,0,20.7,20,7,35,Davis Island,8/20/2012,GOOD,,
0.02,88,75,81.5,0,16.1,20,2,34,Davis Island,9/7/2012,GOOD,,
1.2,89,72,80.5,0,13.2,20,3,37,Davis Island,10/7/2012,GOOD,,
0,85,69,77,0,17.9,20,4,46,Davis Island,1/9/2013,GOOD,,
0,84,70,77,0,26,20,2,38,Davis Island,1/10/2013,GOOD,,
3.54,91,75,83,0,18.7,20,2,28,Davis Island,6/1/2013,GOOD,,
0,90,74,82,0,23.1,20,4,45,Davis Island,6/27/2013,GOOD,,
0.2,90,75,82.5,0,16.5,20,6,45,Davis Island,7/3/2013,GOOD,,
0,88,74,81,0,26.2,20,8,56,Davis Island,9/21/2013,GOOD,,
0,83,64,73.5,0,28.6,20,2,33,Davis Island,11/9/2013,GOOD,,
0.42,77,59,68,0,26.7,20,8,50,Davis Island,1/2/2014,GOOD,,
0,78,58,68,0,32.9,20,5,37,Davis Island,2/19/2014,GOOD,,
0,78,67,72.5,0,28.1,20,6,60,Davis Island,2/24/2014,GOOD,,
0.27,89,74,81.5,0,40.2,20,4,42,Davis Island,6/10/2014,GOOD,,
0.01,87,72,79.5,0,23,20,7,28,Davis Island,6/12/2014,GOOD,,
0,85,74,79.5,0,16.3,20,2,45,Davis Island,7/7/2014,GOOD,,
0,90,80,85,0,28.9,20,13,28,Davis Island,7/25/2014,GOOD,,
0,90,79,84.5,0,19.4,20,10,33,Davis Island,7/26/2014,GOOD,,
0.01,83,70,76.5,0,23.2,20,5,37,Davis Island,11/23/2014,GOOD,,
0,78,64,71,0,30.5,20,12,36,Davis Island,12/28/2014,GOOD,,
0,65,59,62,0,24.7,20,6,31,Davis Island,12/31/2014,GOOD,,
0.25,76,65,70.5,1,21.9,20,11,42,Davis Island,1/12/2015,GOOD,,
,91,76,83.5,1,27.5,20,24,53,Davis Island,6/25/2015,GOOD,,
,91,77,84,0,25.2,20,3,31,Davis Island,6/26/2015,GOOD,,
0,95,78,86.5,1,21.6,20,0,61,Davis Island,7/10/2015,GOOD,,
0,92,77,84.5,0,19.2,20,3,60,Davis Island,8/5/2015,GOOD,,
0,90,80,85,0,11.2,20,1,40,Davis Island,9/10/2015,GOOD,,
0,90,73,81.5,0,24.6,20,0,50,Davis Island,11/6/2015,GOOD,,
,92,77,84.5,1,21.7,20,1,44,Davis Island,8/13/2016,GOOD,,
1.27,91,75,83,0,21,20,1,46,Davis Island,8/29/2016,GOOD,,
0.01,90,75,82.5,0,19.8,20,6,38,Davis Island,10/4/2016,GOOD,,
0,84,64,74,1,17.5,20,1,51,Davis Island,12/4/2016,GOOD,,
,89,75,82,0,20.6,20,2,44,Davis Island,6/16/2017,GOOD,,
0.35,92,77,84.5,0,16.9,20,4,37,Davis Island,8/12/2017,GOOD,,
1.57,86,77,81.5,0,36.6,20,4,37,Davis Island,8/27/2017,GOOD,,
0,93,76,84.5,0,19.2,20,2,54,Davis Island,10/11/2017,GOOD,,
0.11,73,60,66.5,0,18.5,20,,43,Davis Island,3/7/2018,GOOD,,
0.36,91,78,84.5,0,17.5,20,,39,Davis Island,6/22/2018,GOOD,,
0.27,93,78,85.5,0,28.1,20,,33,Davis Island,8/20/2018,GOOD,,
0,94,79,86.5,0,26.7,20,,37,Davis Island,9/1/2018,GOOD,,
0,77,54,65.5,0,14.6,20,,30,Davis Island,2/1/2019,GOOD,,
0,80,65,72.5,1,20.7,20,,42,Davis Island,3/30/2019,GOOD,,
0.05,73,65,69,0,32.4,20,,37,Davis Island,4/20/2019,GOOD,,
0.05,91,80,85.5,1,23.6,20,,55,Davis Island,6/7/2019,GOOD,,
0.02,94,77,85.5,0,17.1,20,,30,Davis Island,8/30/2019,GOOD,,
0,90,76,83,0,14.4,20,,43,Davis Island,6/21/2020,GOOD,,
,93,80,86.5,0,30.8,20,,24,Davis Island,6/28/2020,GOOD,,
0,91,79,85,0,29.5,20,,26,Davis Island,8/15/2020,GOOD,,
0.12,87,76,81.5,0,33,20,,49,Davis Island,9/15/2020,GOOD,,
0,86,73,79.5,0,23,20,,53,Davis Island,11/7/2020,GOOD,,
0.05,89,78,83.5,0,64.3,20,,47,Davis Island,11/10/2020,GOOD,,
0,79,67,73,0,14.1,20,,39,Davis Island,2/9/2021,GOOD,,
0,82,66,74,0,16,20,,20,Davis Island,2/10/2021,GOOD,,
0.01,74,56,65,0,28.6,20,,25,Davis Island,2/17/2021,GOOD,,
0,80,67,73.5,0,,20,,,Davis Island,12/7/2021,GOOD,,
